Name,Group,Average Male Height,Average Male Weight,Year of Recognition,Popularity Rank,Place of Origin,
Dalmation,Non Sporting,21,57,1888,49,Croatia,Europe
Dandie Dinmont Terrier,Terrier,9,21,1886,186,Scotland,Europe
Doberman Pinscher,Working,27,87,1908,15,Germany,Europe
Dogo Argentino,Working,25,90,2020,88,Argentina,South America
Dogue de Bordeaux,Working,23,110,2008,78,France,Europe
English Cocker Spaniel,Sporting,16,31,1946,40,England,Europe
English Foxhound,Hound,24,67,1909,199,England,Europe
English Setter,Sporting,26,72,1878,93,England,Europe
English Springer Spaniel,Sporting,20,50,1910,26,England,Europe
English Toy Spaniel,Toy,9,11,1886,134,England,Europe
Entlebucher Mountain Dog,Herding,19,57,2011,162,Switzerland,Europe
Field Spaniel,Sporting,18,42,1884,157,England,Europe
Finnish Laphund,Herding,19,43,2011,167,Finland,Europe
Finnish Spitz,Non Sporting,18,29,1991,188,Finland,Europe
Flat Coated Retriever,Sporting,23,65,1915,103,England,Europe
French Bulldog,Non Sporting,12,28,1898,1,France,Europe
German Pinscher,Working,18,35,2003,145,Germany,Europe
German Shepherd Dog,Herding,25,77,1908,4,Germany,Europe
German Shorthaired Pointer,Sporting,24,62,1930,10,Germany,Europe
German Wirehaired Pointer,Sporting,25,60,1959,59,Germany,Europe
Giant Schnauzer,Working,26,72,1930,58,Germany,Europe
Glen of Imaal Terrier,Terrier,13,36,2004,169,Ireland,Europe
Golden Retriever,Sporting,23,70,1925,3,Scotland,Europe
Gordon Setter,Sporting,25,67,1878,99,Scotland,Europe
Grand Basset Griffon Vendéen,Hound,17,42,2018,185,France,Europe
Great Dane,Working,31,157,1887,19,Germany,Europe
Great Pyrenees,Working,29,100,1933,69,Spain,Europe
Greater Swiss Mountain Dog,Working,27,127,1995,83,Switzerland,Europe
Greyhound,Hound,29,67,1885,129,England,Europe
Harrier,Hound,20,52,1885,193,England,Europe
Havanese,Toy,10,10,1996,25,Cuba,North America
Ibizan Hound,Hound,25,50,1978,172,Spain,Europe
Icelandic Sheepdog,Herding,18,30,2010,132,Iceland,Europe
Irish Red and White Setter,Sporting,25,51,2009,168,Ireland,Europe
Irish Setter,Sporting,27,70,1878,71,Ireland,Europe
Irish Terrier,Terrier,18,27,1885,131,Ireland,Europe
Irish Water Spaniel,Sporting,23,61,1878,183,Ireland,Europe
Irish Wolfhound,Hound,32,120,1897,89,Ireland,Europe
Italian Greyhound,Toy,14,10,1886,63,Italy,Europe
Japanese Chin,Toy,9,9,1888,105,Japan,Asia
Keeshond,Non Sporting,18,40,1930,90,Netherlands,Europe
Kerry Blue Terrier,Terrier,18,36,1922,146,Ireland,Europe
Komondor,Working,27.5,100,1937,175,Hungary,Europe
Kuvasz,Working,29,107,1931,177,Hungary,Europe
Labrador Retriever,Sporting,23,72,1917,2,America,North America
Lagotto Romagnolo,Sporting,18,31,2015,76,Italy,Europe
Lakeland Terrier,Terrier,14,17,1934,143,England,Europe
Lancashire Heeler,Herding,11,13,2024,9999,England,Europe
Leonberger,Working,29,140,2010,114,Germany,Europe
Lhasa Apso,Non Sporting,10,15,1935,86,Tibet,Asia
Lowchen,Non Sporting,13,15,1996,165,Germany,Europe
Maltese,Toy,8,7,1888,38,Italy,Europe
Manchester Terrier Standard,Terrier,15,17,1887,130,England,Europe
Manchester Terrier Toy,Toy,11,12,1886,130,England,Europe
Mastiff,Working,30,195,1885,37,England,Europe
Miniature American Shepherd,Herding,16,30,2015,31,America,North America
Miniature Bull Terrier,Terrier,12,23,1991,110,England,Europe
Miniature Pinscher,Toy,11,9,1925,72,Germany,Europe
Miniature Schnauzer,Terrier,13,15,1926,17,Germany,Europe
Mudi,Herding,16,23,2022,150,Hungary,Europe
Neapolitan Mastiff,Working,28,150,2004,119,Italy,Europe
Nederlandse Kooikerhondje,Sporting,16,25,2018,170,Netherlands,Europe
Newfoundland,Working,28,140,1886,42,Canada,North America
Norfolk Terrier,Terrier,9,11,1979,138,England,Europe
Norwegian Buhund,Herding,17,35,2009,178,Norway,Europe
Norwegian Elkhound,Hound,20,55,1913,100,Norway,Europe
Norwegian Lundehund,Non Sporting,14,16,2011,198,Norway,Europe
Norwich Terrier,Terrier,10,12,1936,109,England,Europe
Nova Scotia Duck Tolling Retriever,Sporting,19,42,2003,81,Canada,North America
Old English Sheepdog,Herding,22,80,1888,74,England,Europe
Otterhound,Hound,27,115,1909,176,England,Europe
Papillon,Toy,9,7,1915,51,France,Europe
Parson Russell Terrier,Terrier,14,15,1997,121,England,Europe
Pekingese,Toy,7,14,1906,96,China,Asia
Pembroke Welsh Corgi,Herding,11,30,1934,11,Wales,Europe
Petit Basset Griffon Vendéen,Hound,14,32,1990,154,France,Europe
Pharaoh Hound,Hound,24,50,1983,174,Egypt,Africa
Plott Hound,Hound,22,55,2006,173,America,North America
Pointer,Sporting,26,65,1878,107,England,Europe
Polish Lowland Sheepdog,Herding,19,40,2001,181,Poland,Europe
Pomeranian,Toy,6,5,1888,23,Germany,Europe
Mini Poodle,Non Sporting,12,12,1887,7,Germany,Europe
Poodle,Non Sporting,15,65,1887,7,Germany,Europe
Toy Poodle,Toy,10,5,1887,7,Germany,Europe
Portuguese Podengo Pequeno,Hound,10,11,2013,171,Portugal,Europe
Portuguese Water Dog,Working,21,51,1983,46,Portugal,Europe
Pug,Toy,11,16,1885,35,China,Asia
Puli,Herding,17,30,1936,161,Hungary,Europe
Pumi,Herding,17,28,2016,140,Hungary,Europe
Pyrenean Shepherd,Herding,18,22,2009,190,France,Europe
Rat Terrier,Terrier,11,17,2013,85,America,North America
Redbone Coonhound,Hound,24,57,2009,158,America,North America
Rhodesian Ridgeback,Hound,26,85,1955,41,South Africa,Africa
Rottweiler,Working,25,115,1931,7,Germany,Europe
Russel Terrier,Terrier,11,12,2012,73,England,Europe
Russian Toy,Toy,9,6,2022,144,Russia,Europe
Saint Bernard,Working,29,160,1885,56,Switzerland,Europe
Saluki,Hound,25,52,1929,135,Egypt,Africa
Samoyed,Working,22,55,1906,53,Siberia,Europe
Schipperke,Non Sporting,12,13,1904,115,Belgium,Europe
Scottish Deerhound,Hound,31,97,1886,155,Scotland,Europe
Scottish Terrier,Terrier,10,20,1885,60,Scotland,Europe
Sealyham Terrier,Terrier,10,23,1911,164,Wales,Europe
Shetland Sheepdog,Herding,14,20,1911,27,Scotland,Europe
Shiba Inu,Non Sporting,15,23,1992,43,Japan,Asia
Shih Tzu,Toy,9,12,1969,20,China,Asia
Siberian Husky,Working,22,52,1930,21,Siberia,Europe
Silky Terrier,Toy,9,10,1959,122,Australia,Oceania
Skye Terrier,Terrier,10,40,1887,189,Scotland,Europe
Sloughi,Hound,27,42,2016,197,North Africa,Africa
Smooth Fox Terrier,Terrier,15,18,1885,141,England,Europe
Soft Coated Wheaten Terrier,Terrier,18,35,1973,66,Ireland,Europe
Spanish Water Dog,Herding,18,45,2015,163,Spain,Europe
Spinone Italiano,Sporting,25,80,2000,112,Italy,Europe
Staffordshire Bull Terrier,Terrier,15,33,1974,75,England,Europe
Standard Schnauzer,Working,19,37,1904,94,Germany,Europe
Sussex Spaniel,Sporting,14,40,1878,192,England,Europe
Swedish Vallhund,Herding,13,27,2007,160,Sweden,Europe
Tibetan Mastiff,Working,26,120,2006,137,Tibet,Asia
Tibetan Spaniel,Non Sporting,10,12,1983,127,Tibet,Asia
Tibetan Terrier,Non Sporting,15,24,1973,106,Tibet,Asia
Toy Fox Terrier,Toy,10,6,2003,108,America,North America
Treeing Walker Coonhound,Hound,24,60,2012,159,America,North America
Vizsla,Sporting,23,57,1960,33,Hungary,Europe
Weimaraner,Sporting,26,80,1943,44,Germany,Europe
Welsh Springer Spaniel,Sporting,18,47,1914,126,Wales,Europe
Welsh Terrier,Terrier,15,20,1888,113,Wales,Europe
West Highland White Terrier,Terrier,11,17,1908,45,Scotland,Europe
Whippet,Hound,20,32,1888,54,England,Europe
Wire Fox Terrier,Terrier,15,18,1885,102,England,Europe
Wirehaired Pointing Griffon,Sporting,23,60,1887,57,Netherlands,Europe
Wirehaired Vizsla,Sporting,24,60,2014,142,Hungary,Europe
Xoloitzcuintli,Non Sporting,12,12,2011,116,Mexico,North America
